Date,RegionName,DaysOnZillow_AllHomes,InventorySeasonallyAdjusted_AllHomes,InventoryRaw_AllHomes,MedianListingPricePerSqft_AllHomes,MedianListingPrice_AllHomes,MedianPctOfPriceReduction_AllHomes,MedianPriceCutDollar_AllHomes,MedianRentalPricePerSqft_AllHomes,MedianRentalPrice_AllHomes,ZHVIPerSqft_AllHomes,PctOfHomesDecreasingInValues_AllHomes,PctOfHomesIncreasingInValues_AllHomes,PctOfHomesSellingForGain_AllHomes,PctOfHomesSellingForLoss_AllHomes,PctOfListingsWithPriceReductionsSeasAdj_AllHomes,PctOfListingsWithPriceReductions_AllHomes,PriceToRentRatio_AllHomes,Sale_Counts,Sale_Counts_Seas_Adj,Sale_Prices,ZHVI_AllHomes,ZRI_AllHomes,ZRI_AllHomesPlusMultifamily,ZriPerSqft_AllHomes
12/31/17,"Montgomery, Georgia",,,,,,,,,,,,,,,,,,,,,,1132.0,1101.0,0.646
12/31/17,"Morgan, Georgia",,162.0,152.0,145.1573815,339000.0,,,,,113.0,45.78,45.54,,,11.97365447,8.585858586,12.62,,,,222500.0,1426.0,1398.0,0.78
12/31/17,"Murray, Georgia",,108.0,108.0,96.52933891,149900.0,,,,,78.0,,,,,,,8.7,,,,111000.0,1059.0,1051.0,0.736
12/31/17,"Muscogee, Georgia",,957.0,962.0,75.2948886,129900.0,4.857398308,5100.0,0.631107492,800.0,64.0,30.16,60.45,,,13.87424936,10.02638522,9.54,,,,95000.0,837.0,825.0,0.586
12/31/17,"Newton, Georgia",,586.0,570.0,84.72153239,195795.0,3.012238078,5025.5,0.718829911,1145.0,79.0,24.34,67.57,,,10.68084571,9.01734104,9.6,,,,132000.0,1123.0,1105.0,0.692
12/31/17,"Oconee, Georgia",,265.0,231.0,136.2968231,374950.0,2.553796353,7300.0,,,122.0,14.78,79.06,,,11.29176119,7.207207207,12.14,,,,270600.0,1962.0,1929.0,0.83
12/31/17,"Oglethorpe, Georgia",,74.0,73.0,98.92473118,181950.0,,,,,82.0,29.01,64.15,,,8.309617645,6.896551724,10.16,,,,143100.0,1164.0,1146.0,0.688
12/31/17,"Paulding, Georgia",,739.0,724.0,96.10639249,240317.0,,,,,,,,,,8.46015284,5.858585859,,,,,,1286.0,1282.0,0.782
12/31/17,"Peach, Georgia",,97.0,94.0,74.29420505,152450.0,2.911111111,2980.0,,,66.0,33.57,57.63,,,10.61000734,7.936507937,9.27,,,,121800.0,1098.0,1081.0,0.604
12/31/17,"Pickens, Georgia",,372.0,371.0,136.6120219,310000.0,4.349717268,10000.0,,,111.0,21.42,71.36,,,8.670281556,5.537459283,10.35,,,,155100.0,1256.0,1314.0,0.854
12/31/17,"Pierce, Georgia",,,,86.69683258,172000.0,,,,,,,,,,,,,,,,,,,
