Date,RegionName,DaysOnZillow_AllHomes,InventorySeasonallyAdjusted_AllHomes,InventoryRaw_AllHomes,MedianListingPricePerSqft_AllHomes,MedianListingPrice_AllHomes,MedianPctOfPriceReduction_AllHomes,MedianPriceCutDollar_AllHomes,MedianRentalPricePerSqft_AllHomes,MedianRentalPrice_AllHomes,ZHVIPerSqft_AllHomes,PctOfHomesDecreasingInValues_AllHomes,PctOfHomesIncreasingInValues_AllHomes,PctOfHomesSellingForGain_AllHomes,PctOfHomesSellingForLoss_AllHomes,PctOfListingsWithPriceReductionsSeasAdj_AllHomes,PctOfListingsWithPriceReductions_AllHomes,PriceToRentRatio_AllHomes,Sale_Counts,Sale_Counts_Seas_Adj,Sale_Prices,ZHVI_AllHomes,ZRI_AllHomes,ZriPerSqft_AllHomes
1/31/17,NewJersey,146,52531,44948,162.5,272000,4.2135068,10000,1.375068757,1825,179,20.53,68.08,,,14.89611075,13.53629251,12.1,12801,12875,275300,300600,2053,1.236
1/31/17,NewMexico,121,11978,10880,124.8559355,209500,3.225806452,6100,0.790960452,1150,93,,,,,12.61591705,11.60726863,12.41,1603,2109,191300,171600,1187,0.674
1/31/17,NewYork,154.25,72376,62828,173.1153387,339000,4.25389755,10000,,2900,138,22.91,68.93,,,11.05425618,9.424513232,10.24,14984,16748,265800,280100,2175,1.176
1/31/17,NorthCarolina,111.75,55003,48647,114.4026187,225900,3.090909091,6000,0.75,1177.5,100,16.95,75.92,,,10.46014275,9.63850528,11.29,10835,14650,178300,156800,1167,0.74
1/31/17,NorthDakota,107.875,2701,2392,,,5.291005291,10000,0.886363636,1200,180,,,,,8.537508667,5.655217677,12.81,402,727,226100,203100,1297,1.116
1/31/17,Ohio,103.25,42946,37384,88.88065234,134900,4.068348251,5000,0.804661195,980,86,16.32,76.8,,,13.9183307,12.9310651,9.47,11387,15577,129200,124900,1104,0.782
1/31/17,Oklahoma,109.75,19361,17704,96.2499074,170000,2.798052482,5000,0.764317463,995,78,20.94,70.18,,,14.40738195,13.50987077,9.94,3130,4622,135800,114800,959,0.686
1/31/17,Oregon,96.5,15246,12312,182.5962224,320000,3.162194521,10000,1.14759887,1600,191,4.3,93.52,,,9.626659866,8.57661005,15.28,4870,7097,2.93E+05,298900,1640,1.08
1/31/17,Pennsylvania,116.75,56622,49944,109.2181632,169900,3.848709081,5100,0.987654321,1275,113,20.82,70.45,,,15.3716982,13.48534202,10.78,12049,15961,1.54E+05,156900,1234,0.898
1/31/17,RhodeIsland,122,4663,3780,179.2974589,265000,3.703154849,10000,1.349662669,1750,178,8.34,85.48,,,14.12741399,12.5648415,12.58,,,,247000,1648,1.22
1/31/17,SouthCarolina,118.375,31684,29265,115.0910064,219000,2.803738318,5100,0.86875,1250,93,17.72,74.4,,,11.72173453,11.69500495,10.06,6494,7712,167300,142200,1190,0.782
1/31/17,SouthDakota,,3116,2616,137.3541667,202250,3.03030303,5100,0.896551724,1000,136,,,,,11.39682865,9.910688562,11.26,,,,168000,1192,0.986
1/31/17,Tennessee,102.75,31332,28162,109.5212438,195902,3.334444815,5500,0.775609756,1175,89,,,,,11.0486835,10.23680316,10.3,7987,10800,162100,136900,1105,0.726
1/31/17,Texas,87.5,95305,85391,113.960057,249900,2.857142857,7000,0.87962963,1426,93,,,95.03,4.97,14.03608599,13.20025618,9.54,22848,33594,207400,162800,1420,0.846
1/31/17,UnitedStates,104.5,,,,,,,,,,,,,,,,,,,,,,
1/31/17,Utah,87.625,8791,7754,164.4736842,305000,2.611233471,9945,0.924498646,1300,165,,,,,9.213564518,7.899620754,13.96,3381,4431,260600,242200,1447,1.014
1/31/17,Vermont,196,6626,5943,147.2222222,239000,5.555555556,10000,1.4,,158,30.55,58.43,,,9.43791117,7.656448651,11.28,563,812,,217600,1505,1.14
1/31/17,Virginia,109,41444,35462,141.5710556,268990,3.06441526,8310,1.027777778,1550,144,17.16,72.03,,,13.34410053,12.08335789,13.3,7637,11334,255900,240800,1508,0.932
1/31/17,Washington,87.25,21018,16186,180.8610709,305000,3.274784162,10000,1.203007519,1750,194,4.59,93.73,,,8.047993249,7.24054247,15.13,7874,12159,312900,320600,1729,1.08
1/31/17,WestVirginia,141.625,10005,9191,89.08045977,145000,5.044893899,6000,0.774099318,1000,74,35.24,57.05,,,12.63346432,11.25308022,9.35,474,692,150900,102100,904,0.682
1/31/17,Wisconsin,118,31565,24877,121.9337947,175000,3.634544848,5100,0.950482294,1150,109,15.26,78.6,,,10.48752542,8.959783328,11.36,4839,7290,165500,161300,1182,0.906
1/31/17,Wyoming,111.625,4309,3738,145.6951467,232500,3.846153846,8902.5,0.877963802,1050,148,,,,,10.02898311,8.781323624,13.3,314,465,230600,193600,1190,0.924
2/28/17,Alabama,127,29019,27541,91.5743073,178000,3.315584359,5000,0.685779817,1000,76,29.85,60.38,,,12.61837879,11.24590352,10.2,4184,5585,135500,124400,996,0.642
2/28/17,Alaska,121.25,3384,2733,162.8888889,266950,2.326179096,5500,1.217137293,1545,182,,,,,13.94935654,10.58128974,12.17,344,577,312500,267300,,1.274
2/28/17,Arizona,82.25,31814,32716,140.3434664,259900,2.127451335,5100,0.846262341,1295,131,7.69,86.69,,,16.42617807,16.76277944,14.22,10731,13262,222800,219900,1279,0.816
2/28/17,Arkansas,120.25,17110,16604,89.39741857,150975,3.529411765,5000,0.721998208,1000,75,18.12,74.31,,,11.37537541,9.726887688,10.27,2214,2920,135200,117000,945,0.626
2/28/17,California,77,67673,60032,282.5352392,475000,2.857146122,12500,1.755862239,2500,322,8.88,85.64,90.82,9.18,10.75564027,9.531619726,17.05,28516,40029,439600,490500,2419,1.558
2/28/17,Colorado,73.25,22388,18504,213.0991159,385000,2.666666667,10000,1.331967213,1750,204,5.19,91.82,95.21,4.79,10.16481534,7.687152336,14.6,6905,12079,323900,325000,1819,1.178
2/28/17,Connecticut,143.25,20790,16976,166.2100117,297500,3.70851218,10000,1.304347826,1700,152,31.92,53.97,,,16.06128863,12.61651853,11.67,2206,3976,231800,242400,1761,1.182
2/28/17,Delaware,131.5,6611,6289,137.9837067,265000,3.135779241,8000,0.87804878,1300,139,29.13,56.49,,,15.20536506,13.02972802,12.61,963,1376,227800,216100,1384,0.928
2/28/17,DistrictofColumbia,75.625,1245,1092,493.3552632,539000,3.390169492,19900,2.879605684,2600,496,6.53,88.85,,,14.81409916,12.60606061,17.24,505,706,536400,550000,2624,2.246
2/28/17,Florida,106.5,142922,150518,155.4410553,273990,3.003754693,9901,1.219512195,1650,129,8.68,86.89,,,15.32243633,15.99008423,10.99,32615,40552,206400,204000,1540,1.054
2/28/17,Georgia,103.5,55059,51157,100.081115,212544,3.032140691,6000,0.739199366,1250,88,17.53,76.03,,,11.65320946,10.31619767,10.46,12550,16644,166600,153300,1215,0.714
2/28/17,Hawaii,90.5,7422,7630,484.7122302,595000,3.582012214,20000,2.383939774,2300,466,13.46,80.2,,,9.766769081,9.622696695,19.7,1116,1844,,589400,2428,1.958
2/28/17,Idaho,98.75,9487,7866,130.1041667,250900,2.632964718,5100,0.810185185,1150,116,,,,,9.802519869,7.470257309,12.81,1462,2467,199800,184700,1195,0.748
2/28/17,Illinois,128.5,55686,49080,128.3703601,197900,3.032140691,5100,1.236263736,1550,130,20.83,70.93,,,15.85398404,13.50815893,9.74,11663,18567,188300,167400,1465,1.108
2/28/17,Indiana,104.25,26101,22932,86.87852069,140000,3.346096654,5000,0.758949106,995,79,,,,,14.9037379,12.32034766,9.17,5660,8952,,120300,1095,0.72
2/28/17,Iowa,107.5,13271,12161,121.4771623,159900,3.335557038,5000,1.005244755,1050,108,37.63,55.43,,,12.079141,9.199617347,9.97,2323,3917,,126900,1053,0.88
2/28/17,Kansas,88,11012,10012,99.04786927,149900,3.565375303,5000,0.866,1070,,,,,,14.17700747,11.46306722,10.45,1844,2843,,124500,1027,0.77
2/28/17,Kentucky,98.5,17528,15992,99.62732402,159900,3.335557038,5000,0.814183579,999,96,13.83,80.4,,,12.86327691,10.59707904,10.64,3057,4566,149900,133600,1053,0.776
2/28/17,Louisiana,103.25,15931,15470,113.4194053,194900,3.335557038,6000,0.871609017,1200,95,,,,,13.55615235,12.29567482,,2777,3770,158300,,1266,0.774
2/28/17,Maine,154.75,9448,7942,147.6136364,210000,4.371584699,8000,1.239157373,1575,155,37.4,54.84,,,9.637446858,6.367041199,11.13,,,,201100,1411,1.1
2/28/17,Maryland,127.5,22600,19556,168.1046196,279900,3.266129032,10000,1.274403471,1650,174,20.04,68.88,,,16.10231604,13.23815704,12.77,7822,10249,256400,268800,1761,1.194
2/28/17,Massachusetts,110.75,18921,14118,225.0990099,389900,3.195744681,10000,2.532786885,2500,229,9.58,83.56,,,13.33785654,9.362901868,14.46,3571,7430,340300,367400,2174,1.358
2/28/17,Michigan,107.75,45811,39096,109.9779897,149900,4.016,5000,0.932400932,1000,101,14.15,80.9,,,12.54968197,10.04344751,9.74,11644,16901,,130900,1109,0.898
2/28/17,Minnesota,102.875,19915,15844,160.8487337,235000,3.125976868,8000,1.205479814,1450,165,13.53,81.61,,,12.37462783,9.031463959,11.83,4639,8102,2.11E+05,204100,1409,1.158
2/28/17,Mississippi,117.75,12746,12646,86.66353572,162900,3.704074074,5000,0.736434109,1050,69,,,,,12.13411086,11.05702822,8.8,1225,1747,,112000,1049,0.674
2/28/17,Missouri,98.5,31379,27589,98.46059113,150900,3.449465333,5000,0.813802083,900,103,,,,,13.41446963,10.94391564,10.83,4975,7276,165600,140000,1066,0.836
2/28/17,Montana,122.875,6679,5889,171.6081946,289900,3.448275862,10000,0.947660587,1097.5,158,,,,,7.94075182,6.151592823,13.6,548,993,261100,199200,1219,0.958
2/28/17,Nebraska,80.25,4980,4484,122.107249,176250,3.195958043,5100,0.990243902,,107,8.14,86.59,,,13.83346829,10.2859644,9.87,1170,2115,160900,146600,1255,0.908
2/28/17,Nevada,85,16540,15663,138.8888889,265000,2.326663564,6255.5,0.822070676,1300,134,4.09,93.04,,,12.0090763,11.21462001,14.72,4178,5226,229100,233100,1297,0.806
2/28/17,NewHampshire,130.5,7928,5858,148.7993693,264900,3.460207612,10000,1.194213273,1500,146,12.74,80.8,,,10.03370076,6.842343361,11.81,,,,240100,1669,1.088
2/28/17,NewJersey,148.25,52295,46602,164.1414141,275000,4,10000,1.392891451,1850,180,19.94,68.88,,,15.03749951,12.62453917,12.11,9693,13976,272900,302000,2052,1.236
2/28/17,NewMexico,121.75,11879,10842,125.4826255,209900,3.050640635,5900,0.8125,1150,94,,,,,12.40226858,10.37184784,12.47,1644,2051,193800,172600,1189,0.674
2/28/17,NewYork,159.25,71012,62572,180.0754864,349000,4.104669061,10000,,3000,140,20.79,70.63,,,11.18042281,8.365282919,10.33,13741,17427,269800,283200,2178,1.176
2/28/17,NorthCarolina,111.5,53835,48925,115.6462585,229900,2.941176471,6000,0.756829879,1200,100,16.45,76.59,,,10.75483865,9.229280193,11.34,10893,14747,179400,157600,1166,0.74
2/28/17,NorthDakota,120.75,2791,2549,,,2.808988764,6000,0.893796992,1200,180,,,,,12.37619163,9.239624356,12.79,362,725,226300,202100,1299,1.116
2/28/17,Ohio,104.75,42358,36958,90.44283276,136900,3.847633705,5000,0.808672823,970,86,16.52,76.48,,,14.0744228,11.59906135,9.51,10974,15954,131400,125600,1105,0.78
2/28/17,Oklahoma,110.25,19896,18870,96.26409774,170000,2.857415018,5000,0.777511962,995,79,21.65,70.26,,,14.95295957,12.96303571,10.05,3140,4540,138100,115700,955,0.684
2/28/17,Oregon,93.25,14771,11772,184.7096101,325000,3.217753121,10000,1.19047619,1675,193,4.44,93.28,,,10.16409289,8.063514592,15.29,4462,6843,297600,301300,1646,1.082
2/28/17,Pennsylvania,120.5,55942,49741,110.554577,174900,3.706449222,5100,1,1295,114,21.51,69.67,,,15.58255849,12.37852477,10.79,10342,16371,154900,157400,1232,0.898
2/28/17,RhodeIsland,129.25,4659,3830,181.8514453,274900,3.705075954,10000,1.397949674,1887.5,179,7.97,86.36,,,13.4215499,9.555930298,12.6,,,,248400,1650,1.224
2/28/17,SouthCarolina,115.5,31470,30150,116.2518446,220000,2.584745763,5000,0.875,1250,93,17.59,74.55,,,12.30905921,11.25733594,10.09,6767,8232,172100,143300,1194,0.784
2/28/17,SouthDakota,,3118,2694,138.6679001,205900,3.076923077,5400,0.89116471,1050,137,,,,,10.27429647,7.577067128,11.45,,,,168700,1191,0.984
2/28/17,Tennessee,106,30924,28632,110.7214429,199900,3.065949961,5050,0.782304537,1195,89,,,,,11.48406105,9.616519174,10.33,7863,10959,164500,137800,1110,0.726
2/28/17,Texas,84.75,94971,88158,115.1654182,255000,2.797202797,7500,0.888344083,1450,93,,,94.82,5.18,14.38813978,12.5015575,9.56,24112,33332,208500,163300,1419,0.846
2/28/17,UnitedStates,104.75,,,,,,,,,,,,,,,,,,,,,,
2/28/17,Utah,89.5,8468,7708,165.1090343,309900,2.70343336,10000,0.930331351,1300,167,,,,,9.87475722,8.105184322,14.05,3496,4542,263400,244200,1451,1.018
2/28/17,Vermont,198.5,6624,5868,147.1122473,239000,5.254252382,10000,1.458333333,,159,30.06,58.7,,,9.256140509,7.330827068,11.51,466,872,,219000,1506,1.132
2/28/17,Virginia,106.125,41272,36164,144.2008078,274999,2.884339347,7625,1.028225806,1550,144,17.27,71.68,,,14.20881303,11.47950967,13.29,7390,11428,261900,241600,1509,0.932
2/28/17,Washington,80.25,20106,15482,183.7019265,315000,3.082549634,10000,1.219512195,1795,195,4.83,93.4,,,7.754076325,5.997498618,15.19,7354,11775,3.14E+05,323100,1735,1.082
2/28/17,WestVirginia,146.125,10017,9268,89.74590275,149000,4.761904762,5500,0.748627537,1000,74,31.06,61.03,,,12.75611154,10.56376574,9.47,410,641,152300,102800,905,0.682
2/28/17,Wisconsin,124,31256,26137,123.7770898,179900,3.63259689,5225,0.992809735,1165,110,15.21,78.74,,,10.63321849,8.503577409,11.34,3922,7316,165300,162600,1189,0.91
2/28/17,Wyoming,114.875,4219,3724,146.8767515,232000,2.778935721,6000,0.877192982,1050,148,,,,,9.972410418,8.472711268,13.35,311,470,224900,193600,1194,0.924
3/31/17,Alabama,119.25,28352,27322,93.30741489,179999,3.134712669,5000,0.685779817,1000,77,28.34,62.01,,,12.57038303,12.46971058,10.23,5746,5711,137400,124700,997,0.642
3/31/17,Alaska,111.625,3297,2766,163.75,270000,2.632964718,7000,1.2,1500,182,,,,,12.10367928,9.989868288,12.18,439,571,317800,267100,,1.276
3/31/17,Arizona,75.25,31711,32445,140.7692308,260000,2.127659574,5500,0.8705929,1300,132,7.85,86.3,,,16.91468157,17.8805395,14.25,15677,13649,2.25E+05,220800,1281,0.816
3/31/17,Arkansas,113.5,17015,16569,90.39761196,155000,3.51741466,5000,0.734754274,1050,76,18.46,73.65,,,11.83124474,11.68404245,10.31,3164,3028,135400,117900,945,0.626
3/31/17,California,64.75,65735,59699,292.8327645,494500,2.815631263,14000,1.80075188,2500,324,9.25,85.03,91.61,8.39,11.20593049,10.40125017,17.08,41109,40912,446200,494300,2429,1.562
3/31/17,Colorado,63,21609,18471,215.8254338,390000,2.579996571,10000,1.358173077,1795,205,5.45,91.68,94.64,5.36,10.12858787,8.729893271,14.64,9899,12150,324900,327300,1820,1.178
3/31/17,Connecticut,142.5,20149,17533,168.6056314,299900,3.705075954,10000,1.345819979,1750,153,31.43,54.76,,,15.10189152,14.12759655,11.67,2807,4084,231700,243100,1763,1.182
3/31/17,Delaware,127.375,6521,6248,139.1876179,269900,2.985074627,7495,0.885691281,1300,141,25.13,62.13,,,14.22111902,13.62071013,12.72,1275,1465,237400,218400,1379,0.928
3/31/17,DistrictofColumbia,63,1208,1095,496.201052,549000,3.333333333,16000,2.913907285,2550,499,6.98,88.11,,,14.67433837,13.23741007,17.23,782,770,543100,552600,2641,2.252
3/31/17,Florida,103,142026,147573,155.9,275000,2.94160906,9900,1.236979167,1690,130,9.28,86,,,15.49700738,16.80280097,11,43925,41389,2.07E+05,204900,1542,1.058
3/31/17,Georgia,91.5,53270,50783,102.7054795,220397,2.857959417,6400,0.747508306,1293.5,88,17.6,75.75,,,11.7121538,11.44032547,10.49,18121,15858,171400,154000,1218,0.714
3/31/17,Hawaii,85.75,7208,7186,481.4814815,595000,3.409090909,20000,2.401129944,2300,472,11.59,82.54,,,10.18777799,10.3985297,19.88,1497,1767,,598100,2441,1.964
3/31/17,Idaho,86.25,9178,7855,130.4700652,253995,2.528977871,5100,0.822368421,1185,116,,,,,10.90774143,9.517045455,12.9,2258,2341,200200,186200,1198,0.75
3/31/17,Illinois,117.25,54697,50747,132.7135901,209500,3.031221582,6000,1.245358733,1550,130,20.96,70.56,,,15.77348085,15.0535809,9.76,17025,19348,192600,168000,1466,1.11
3/31/17,Indiana,99.25,25089,22568,89.64487222,149900,3.18907059,5000,0.773665049,1000,79,,,,,13.84997414,12.57693184,9.18,9651,9770,,120500,1096,0.72
3/31/17,Iowa,103,13111,12151,123.8776866,164900,3.333333333,5000,1.021505376,1050,108,41.52,51.39,,,11.73258243,10.73462689,9.85,3286,4203,,126600,1048,0.878
3/31/17,Kansas,77.75,10943,10169,104.2687194,159900,3.414634146,5000,0.87109375,1100,,,,,,13.21287129,12.32048827,10.48,2818,3022,,124900,1037,0.772
3/31/17,Kentucky,91.375,17125,15816,102.1995043,165000,3.335557038,5000,0.846208094,1050,97,14.38,79.67,,,12.41996684,11.59916558,10.66,4309,4697,150100,133800,1055,0.778
3/31/17,Louisiana,93.5,16263,15771,114.0480157,198000,3.090909091,5900,0.889617741,1250,96,,,,,14.8966892,14.88668867,,3927,3952,159400,,1264,0.772
3/31/17,Maine,166.5,9293,7683,150.2086811,219000,4.016064257,8100,1.31147541,1650,156,37.55,54.61,,,9.677877726,8.364556962,10.98,,,,202200,1422,1.108
3/31/17,Maryland,116.25,21966,19672,172.1450151,291500,3.220842909,10000,1.287448641,1670,174,20.6,67.81,,,15.48639971,14.07737862,12.76,9757,10724,259200,268800,1760,1.194
3/31/17,Massachusetts,105,17786,14404,233.6987015,409900,3.333333333,10000,2.591240876,2500,230,9.09,84.42,,,12.34511446,10.47759828,14.45,5315,7758,343900,369900,2175,1.362
