Date,RegionName,DaysOnZillow_AllHomes,InventorySeasonallyAdjusted_AllHomes,InventoryRaw_AllHomes,MedianListingPricePerSqft_AllHomes,MedianListingPrice_AllHomes,MedianPctOfPriceReduction_AllHomes,MedianPriceCutDollar_AllHomes,MedianRentalPricePerSqft_AllHomes,MedianRentalPrice_AllHomes,ZHVIPerSqft_AllHomes,PctOfHomesDecreasingInValues_AllHomes,PctOfHomesIncreasingInValues_AllHomes,PctOfListingsWithPriceReductionsSeasAdj_AllHomes,PctOfListingsWithPriceReductions_AllHomes,PriceToRentRatio_AllHomes,ZHVI_AllHomes,ZRI_AllHomes,ZRI_AllHomesPlusMultifamily,ZriPerSqft_AllHomes
12/31/17,"Cumberland, Pennsylvania",,870,802,125.5261408,244990,3.00120048,7000,0.859872611,1295,117,23.08,61.58,14.60096084,9.695973706,11.44,187300,1382,1371,0.858
12/31/17,"Dauphin, Pennsylvania",,1118,1111,103.6032015,169900,3.571428571,5000,0.769824317,1095,105,49.69,36.8,16.14205324,11.84124919,10.19,151400,1234,1221,0.834
12/31/17,"Delaware, Pennsylvania",,1941,1758,124.218119,192749,3.42439601,5100,1.090937029,1350,126,40.54,49.54,18.10200856,11.93447738,10.41,191100,1535,1515,1.06
12/31/17,"Elk, Pennsylvania",,111,116,,,,,,,,44.24,49.35,,,7.36,84000,,,
12/31/17,"Erie, Pennsylvania",,1259,1213,85.35196687,129900,3.661946903,5000,0.771456852,900,86,32.93,54.79,15.82427498,9.719370294,10.16,120700,983,971,0.724
12/31/17,"Fayette, Pennsylvania",,510,512,80.97222222,120000,7.441860465,5000,,,89,,,11.40486534,6.64556962,,,860,853,0.654
12/31/17,"Forest, Pennsylvania",,,,67.70833333,69450,,,,,,,,,,,,939,933,
12/31/17,"Franklin, Pennsylvania",,699,673,,189900,5.048275088,9100,,895,97,22.54,68.37,15.38625982,10.73903002,12.64,171300,1131,1129,0.634
12/31/17,"Fulton, Pennsylvania",,47,43,111.6666667,185000,,,,,,,,,,,,,,
12/31/17,"Greene, Pennsylvania",,128,124,,124950,,,,,,,,,,,,,1042,
12/31/17,"Huntingdon, Pennsylvania",,,,101.6672618,139900,,,,,80,21.54,72.23,,,9.5,124100,,,
12/31/17,"Indiana, Pennsylvania",,,,85.21697088,109900,,,,,85,40.11,54.83,,,9.7,116200,,,0.656
12/31/17,"Jefferson, Pennsylvania",,200,193,95.83333333,99000,,,,,104,41.96,52.94,,,8.36,99300,,,
12/31/17,"Juniata, Pennsylvania",,61,64,133.7746793,148950,,,,,131,17.23,75.89,,,10.71,147400,1145,1141,1.05
12/31/17,"Lackawanna, Pennsylvania",,970,936,,129700,5.771495878,9940,,1000,68,30.69,63.32,12.94847487,7.8994614,9.41,130200,1118,1067,0.674
12/31/17,"Lancaster, Pennsylvania",,1311,1244,131.6981132,244999,3.06441526,5500,0.870295699,1150,131,16.3,72.17,14.55651319,9.9609375,13.62,197000,1194,1186,0.804
12/31/17,"Lawrence, Pennsylvania",,601,573,55.30850472,75000,6.253908693,5000,,650,61,33.86,57.14,14.07029382,9.169054441,10.76,90800,,,
12/31/17,"Lebanon, Pennsylvania",,512,506,118.4960169,251360.5,4.144144144,5000,0.748134328,1025,112,19.18,71.43,12.46775126,8.689458689,12.06,167500,1131,1124,0.728
12/31/17,"Lehigh, Pennsylvania",,1005,964,124.6181718,214900,3.801163536,5100,0.927537719,1400,123,20.78,67,16.94126708,11.55934833,10.48,186900,1502,1427,0.932
12/31/17,"Luzerne, Pennsylvania",,1413,1358,71.86664273,115000,5.146914763,5000,0.665236052,912.5,63,38.45,54.03,15.09726215,10.62740077,8.67,102600,1024,989,0.644
12/31/17,"Lycoming, Pennsylvania",,389,372,104.3583937,165000,4.763416958,7915,,915,100,40.45,47.58,15.96991083,11.49144254,12.27,146800,987,966,0.688
12/31/17,"McKean, Pennsylvania",,191,214,52.5,84900,,,,,47,,,,,,,904,904,0.678
12/31/17,"Mercer, Pennsylvania",,592,563,,120000,6.132665832,5000,,,71,33.92,58.67,13.11789086,8.637873754,10.97,114200,,,
12/31/17,"Mifflin, Pennsylvania",,121,123,69.65301479,99000,,,,,,,,9.259659209,5.952380952,,,1030,994,0.708
12/31/17,"Monroe, Pennsylvania",,1657,1574,94.17808219,153006,4.565427467,5650,0.857142857,1250,90,21.09,73.33,13.49847317,10.56122449,8.86,141500,1301,1293,0.89
12/31/17,"Montgomery, Pennsylvania",,2755,2443,157.7402788,309900,3.053613054,9100,1.155048077,1600,158,34.45,50.81,18.08421301,11.92434211,12.53,289100,1908,1871,1.066
12/31/17,"Montour, Pennsylvania",,,,129.2864818,,,,,,,,,,,,,1206,1194,0.778
12/31/17,"Northampton, Pennsylvania",,1111,1025,130.7882159,249900,3.618817853,9630,0.979407995,1350,125,14.12,77.54,16.41638794,10.609319,11.35,196300,1471,1451,0.924
12/31/17,"Northumberland, Pennsylvania",,382,378,,,9.620462046,5000,,,59,34.04,59.26,10.43100923,8.056872038,9.33,89400,,,
12/31/17,"Perry, Pennsylvania",,132,128,111.6373478,189900,2.956473659,5000,,,101,26.26,64.51,13.83828002,10.15228426,10.21,147600,1198,1195,0.824
12/31/17,"Philadelphia, Pennsylvania",,4251,4210,138.0254024,185250,3.335000926,5000,1.192748092,1400,110,25.22,69.66,16.08160018,11.72402955,9.97,144700,1216,1221,0.99
12/31/17,"Pike, Pennsylvania",,1068,1014,86.77016985,155000,5.857740586,9000,0.848345588,1250,79,34.16,60.96,11.67461312,8.110440035,9.41,143900,1315,1311,0.706
12/31/17,"Potter, Pennsylvania",,168,172,100,120000,,,,,,,,9.10593982,7.25388601,,,959,956,1.022
